4,,,
3,,,
3,,,
3,,,
3,,,
3,,,
8,,,
3,,,
2,,,
3,,,
5,,,
4,,,
6,,,
4,,,
4,,,
6,,,
3,,,
2,,,
4,,,
3,,,
4,,,
4,,,
6,,,
3,,,
21,,,
3,,,
5,,,
5,,,
4,,,
3,,,
4,,,
2,,,
3,,,
5,,,
4,,,
8,,,
3,,,
4,,,
3,,,
3,,,
12,,,
3,,,
3,,,
5,,,
3,,,
5,,,
4,,,
5,,,
5,,,
4,,,
3,,,
4,,,
10,,,
4,,,
3,,,
6,,,
10,,,
3,,,
3,,,
5,,,
3,,,
8,,,
18,,,
7,,,
5,,,
4,,,
6,,,
6,,,
5,,,
4,,,
4,,,
3,,,
3,,,
4,,,
3,,,
4,,,
3,,,
5,,,
5,,,
6,,,
5,,,
4,,,
3,,,
4,,,
3,,,
3,,,
5,,,
5,,,
3,,,
7,,,
3,,,
3,,,
3,,,
4,,,
3,,,
3,,,
16,,,
7,,,
3,,,
6,,,
3,,,
3,,,
5,,,
4,,,
3,,,
8,,,
24,,,
3,,,
3,,,
2,,,
3,,,
7,,,
6,,,
5,,,
3,,,
3,,,
4,,,
4,,,
3,,,
5,,,
5,,,
3,,,
4,,,
4,,,
3,,,
2,,,
5,,,
3,,,
5,,,
7,,,
3,,,
4,,,
3,,,
3,,,
3,,,
3,,,
3,,,
4,,,
4,,,
3,,,
5,,,
7,,,
7,,,
3,,,
5,,,
2,,,
2,,,
3,,,
3,,,
4,,,
3,,,
4,,,
6,,,
7,,,
3,,,
3,,,
3,,,
6,,,
9,,,
3,,,
4,,,
3,,,
3,,,
3,,,
5,,,
5,,,
5,,,
3,,,
5,,,
4,,,
2,,,
4,,,
4,,,
5,,,
4,,,
4,,,
7,,,
6,,,
2,,,
6,,,
4,,,
4,,,
8,,,
5,,,
7,,,
7,,,
4,,,
25,,,
18,,,
5,,,
3,,,
3,,,
5,,,
4,,,
4,,,
3,,,
5,,,
3,,,
3,,,
4,,,
2,,,
5,,,
4,,,
3,,,
3,,,
4,,,
5,,,
6,,,
7,,,
4,,,
4,,,
4,,,
3,,,
3,,,
5,,,
3,,,
5,,,
4,,,
5,,,
6,,,
3,,,
4,,,
3,,,
2,,,
5,,,
7,,,
4,,,
4,,,
4,,,
5,,,
7,,,
4,,,
3,,,
4,,,
5,,,
4,,,
3,,,
3,,,
4,,,
5,,,
4,,,
6,,,
3,,,
4,,,
3,,,
4,,,
3,,,
4,,,
6,,,
6,,,
3,,,
7,,,
3,,,
2,,,
5,,,
4,,,
8,,,
8,,,
6,,,
6,,,
3,,,
6,,,
5,,,
3,,,
3,,,
3,,,
5,,,
2,,,
2,,,
5,,,
3,,,
3,,,
4,,,
7,,,
3,,,
4,,,
2,,,
4,,,
2,,,
2,,,
3,,,
4,,,
2,,,
2,,,
2,,,
2,,,
3,,,
5,,,
5,,,
3,,,
4,,,
2,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
4,,,
4,,,
4,,,
4,,,
5,,,
16,,,
3,,,
4,,,
3,,,
4,,,
4,,,
6,,,
3,,,
8,,,
9,,,
3,,,
2,,,
6,,,
3,,,
3,,,
13,,,
18,,,
3,,,
4,,,
3,,,
4,,,
4,,,
2,,,
3,,,
2,,,
3,,,
3,,,
2,,,
3,,,
2,,,
2,,,
5,,,
4,,,
3,,,
2,,,
3,,,
2,,,
2,,,
1,,,
3,,,
3,,,
2,,,
4,,,
2,,,
2,,,
5,,,
5,,,
3,,,
5,,,
3,,,
3,,,
2,,,
3,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
16,,,
7,,,
2,,,
3,,,
28,,,
2,,,
12,,,
11,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
5,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
1,,,
3,,,
5,,,
11,,,
4,,,
3,,,
2,,,
3,,,
2,,,
2,,,
4,,,
2,,,
4,,,
4,,,
2,,,
3,,,
3,,,
4,,,
3,,,
3,,,
3,,,
5,,,
2,,,
3,,,
3,,,
3,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
6,,,
4,,,
5,,,
2,,,
2,,,
4,,,
13,,,
2,,,
3,,,
2,,,
4,,,
4,,,
3,,,
4,,,
3,,,
2,,,
4,,,
2,,,
4,,,
3,,,
5,,,
4,,,
12,,,
2,,,
4,,,
3,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
3,,,
3,,,
5,,,
2,,,
4,,,
7,,,
2,,,
4,,,
2,,,
4,,,
4,,,
2,,,
3,,,
2,,,
2,,,
2,,,
9,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
4,,,
2,,,
17,,,
2,,,
2,,,
2,,,
2,,,
5,,,
2,,,
4,,,
2,,,
2,,,
11,,,
3,,,
2,,,
4,,,
4,,,
16,,,
2,,,
17,,,
3,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
3,,,
3,,,
2,,,
2,,,
11,,,
2,,,
2,,,
2,,,
2,,,
2,,,
5,,,
4,,,
2,,,
2,,,
3,,,
2,,,
4,,,
4,,,
2,,,
2,,,
2,,,
2,,,
3,,,
4,,,
3,,,
3,,,
3,,,
3,,,
4,,,
2,,,
3,,,
3,,,
3,,,
2,,,
2,,,
3,,,
2,,,
3,,,
2,,,
19,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
3,,,
4,,,
4,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
3,,,
3,,,
15,,,
4,,,
3,,,
4,,,
2,,,
8,,,
3,,,
2,,,
2,,,
5,,,
3,,,
5,,,
2,,,
2,,,
4,,,
2,,,
2,,,
4,,,
2,,,
2,,,
4,,,
3,,,
3,,,
5,,,
3,,,
2,,,
4,,,
3,,,
4,,,
2,,,
4,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
3,,,
3,,,
2,,,
2,,,
3,,,
4,,,
3,,,
2,,,
2,,,
2,,,
3,,,
3,,,
2,,,
2,,,
11,,,
2,,,
3,,,
3,,,
4,,,
2,,,
3,,,
3,,,
3,,,
3,,,
4,,,
2,,,
3,,,
9,,,
2,,,
2,,,
3,,,
3,,,
4,,,
2,,,
3,,,
2,,,
2,,,
3,,,
2,,,
2,,,
3,,,
4,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
5,,,
4,,,
3,,,
2,,,
3,,,
2,,,
2,,,
11,,,
3,,,
3,,,
2,,,
3,,,
2,,,
3,,,
4,,,
3,,,
5,,,
3,,,
3,,,
3,,,
2,,,
51,,,
3,,,
2,,,
2,,,
3,,,
3,,,
4,,,
11,,,
4,,,
3,,,
2,,,
3,,,
3,,,
3,,,
3,,,
4,,,
4,,,
4,,,
2,,,
5,,,
10,,,
2,,,
2,,,
4,,,
3,,,
2,,,
2,,,
3,,,
3,,,
4,,,
3,,,
3,,,
2,,,
6,,,
3,,,
3,,,
3,,,
2,,,
3,,,
4,,,
2,,,
2,,,
2,,,
4,,,
3,,,
3,,,
3,,,
2,,,
4,,,
3,,,
4,,,
3,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
3,,,
2,,,
5,,,
4,,,
5,,,
3,,,
11,,,
3,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
3,,,
5,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
6,,,
2,,,
2,,,
3,,,
4,,,
6,,,
7,,,
3,,,
2,,,
17,,,
13,,,
16,,,
6,,,
4,,,
3,,,
3,,,
49,,,
3,,,
3,,,
3,,,
2,,,
4,,,
2,,,
2,,,
4,,,
3,,,
3,,,
5,,,
3,,,
3,,,
11,,,
2,,,
2,,,
3,,,
2,,,
5,,,
3,,,
4,,,
2,,,
3,,,
2,,,
3,,,
2,,,
3,,,
2,,,
3,,,
2,,,
5,,,
2,,,
2,,,
4,,,
4,,,
6,,,
6,,,
3,,,
3,,,
2,,,
2,,,
3,,,
2,,,
5,,,
2,,,
3,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
3,,,
2,,,
2,,,
2,,,
2,,,
9,,,
3,,,
2,,,
4,,,
3,,,
4,,,
2,,,
3,,,
2,,,
11,,,
3,,,
2,,,
3,,,
2,,,
6,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
4,,,
5,,,
6,,,
5,,,
3,,,
2,,,
3,,,
2,,,
2,,,
2,,,
6,,,
5,,,
6,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
5,,,
4,,,
4,,,
3,,,
3,,,
3,,,
2,,,
3,,,
2,,,
3,,,
4,,,
4,,,
4,,,
2,,,
2,,,
2,,,
2,,,
5,,,
2,,,
2,,,
7,,,
3,,,
16,,,
2,,,
2,,,
4,,,
12,,,
4,,,
3,,,
3,,,
4,,,
2,,,
16,,,
3,,,
3,,,
2,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
3,,,
2,,,
3,,,
12,,,
3,,,
5,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
5,,,
3,,,
2,,,
3,,,
9,,,
5,,,
4,,,
15,,,
6,,,
3,,,
6,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
4,,,
2,,,
4,,,
4,,,
2,,,
7,,,
3,,,
3,,,
3,,,
4,,,
4,,,
2,,,
2,,,
5,,,
2,,,
3,,,
2,,,
15,,,
6,,,
3,,,
2,,,
2,,,
5,,,
2,,,
3,,,
2,,,
2,,,
3,,,
4,,,
3,,,
4,,,
6,,,
2,,,
3,,,
3,,,
4,,,
2,,,
2,,,
2,,,
4,,,
3,,,
4,,,
5,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
2,,,
4,,,
3,,,
3,,,
3,,,
3,,,
4,,,
3,,,
4,,,
3,,,
2,,,
2,,,
2,,,
3,,,
3,,,
3,,,
2,,,
2,,,
4,,,
13,,,
2,,,
3,,,
3,,,
2,,,
3,,,
3,,,
2,,,
4,,,
3,,,
4,,,
26,,,
3,,,
5,,,
2,,,
3,,,
2,,,
4,,,
3,,,
2,,,
3,,,
4,,,
2,,,
3,,,
3,,,
12,,,
2,,,
5,,,
4,,,
2,,,
4,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
2,,,
3,,,
2,,,
3,,,
3,,,
3,,,
13,,,
4,,,
5,,,
2,,,
4,,,
4,,,
3,,,
4,,,
3,,,
2,,,
3,,,
2,,,
3,,,
3,,,
4,,,
2,,,
3,,,
6,,,
2,,,
3,,,
4,,,
4,,,
3,,,
11,,,
4,,,
2,,,
5,,,
23,,,
6,,,
3,,,
4,,,
2,,,
4,,,
16,,,
3,,,
5,,,
2,,,
7,,,
2,,,
6,,,
2,,,
5,,,
3,,,
2,,,
3,,,
12,,,
4,,,
3,,,
3,,,
3,,,
2,,,
2,,,
3,,,
2,,,
2,,,
3,,,
2,,,
4,,,
2,,,
4,,,
4,,,
9,,,
2,,,
2,,,
3,,,
2,,,
5,,,
3,,,
2,,,
0,,,
18,,,
3,,,
3,,,
2,,,
2,,,
4,,,
6,,,
10,,,
2,,,
4,,,
3,,,
3,,,
2,,,
5,,,
4,,,
47,,,
2,,,
2,,,
2,,,
5,,,
2,,,
3,,,
5,,,
5,,,
11,,,
2,,,
2,,,
3,,,
3,,,
2,,,
6,,,
2,,,
2,,,
2,,,
5,,,
2,,,
5,,,
2,,,
3,,,
2,,,
2,,,
2,,,
3,,,
2,,,
15,,,
3,,,
2,,,
6,,,
3,,,
3,,,
3,,,
3,,,
3,,,
12,,,
2,,,
2,,,
2,,,
4,,,
4,,,
4,,,
3,,,
2,,,
6,,,
3,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
3,,,
2,,,
49,,,
3,,,
3,,,
2,,,
5,,,
2,,,
6,,,
2,,,
2,,,
2,,,
3,,,
2,,,
3,,,
2,,,
4,,,
4,,,
6,,,
2,,,
2,,,
2,,,
6,,,
2,,,
4,,,
4,,,
2,,,
4,,,
4,,,
2,,,
3,,,
4,,,
3,,,
5,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
7,,,
4,,,
4,,,
2,,,
3,,,
3,,,
4,,,
3,,,
2,,,
2,,,
4,,,
2,,,
2,,,
3,,,
4,,,
19,,,
4,,,
4,,,
3,,,
2,,,
3,,,
4,,,
12,,,
7,,,
2,,,
4,,,
2,,,
4,,,
2,,,
3,,,
2,,,
4,,,
2,,,
3,,,
3,,,
2,,,
3,,,
2,,,
3,,,
4,,,
2,,,
3,,,
4,,,
2,,,
3,,,
7,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
5,,,
3,,,
4,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
3,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
5,,,
14,,,
2,,,
2,,,
2,,,
12,,,
2,,,
8,,,
2,,,
4,,,
3,,,
3,,,
14,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
3,,,
5,,,
2,,,
6,,,
2,,,
4,,,
4,,,
3,,,
2,,,
3,,,
2,,,
4,,,
2,,,
3,,,
2,,,
2,,,
6,,,
9,,,
3,,,
3,,,
2,,,
11,,,
4,,,
3,,,
2,,,
5,,,
2,,,
4,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
19,,,
2,,,
7,,,
2,,,
3,,,
3,,,
3,,,
3,,,
2,,,
2,,,
3,,,
2,,,
2,,,
4,,,
2,,,
3,,,
2,,,
2,,,
3,,,
3,,,
3,,,
2,,,
13,,,
3,,,
3,,,
11,,,
7,,,
10,,,
3,,,
4,,,
4,,,
11,,,
3,,,
3,,,
3,,,
2,,,
2,,,
4,,,
3,,,
3,,,
11,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
14,,,
2,,,
5,,,
3,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
3,,,
4,,,
12,,,
2,,,
2,,,
2,,,
3,,,
9,,,
2,,,
2,,,
4,,,
2,,,
2,,,
5,,,
4,,,
3,,,
7,,,
2,,,
4,,,
2,,,
2,,,
3,,,
4,,,
2,,,
5,,,
2,,,
2,,,
3,,,
11,,,
15,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
5,,,
4,,,
3,,,
2,,,
4,,,
3,,,
4,,,
4,,,
4,,,
3,,,
15,,,
8,,,
10,,,
5,,,
3,,,
4,,,
4,,,
4,,,
3,,,
3,,,
3,,,
4,,,
4,,,
5,,,
5,,,
3,,,
2,,,
10,,,
15,,,
2,,,
3,,,
3,,,
5,,,
3,,,
3,,,
4,,,
7,,,
3,,,
2,,,
2,,,
3,,,
3,,,
3,,,
12,,,
3,,,
2,,,
2,,,
5,,,
2,,,
2,,,
2,,,
2,,,
4,,,
3,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
4,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
4,,,
3,,,
2,,,
2,,,
3,,,
10,,,
58,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
3,,,
2,,,
4,,,
8,,,
4,,,
3,,,
3,,,
5,,,
10,,,
2,,,
2,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
4,,,
2,,,
3,,,
3,,,
2,,,
2,,,
2,,,
3,,,
4,,,
2,,,
3,,,
2,,,
2,,,
4,,,
4,,,
2,,,
3,,,
2,,,
6,,,
3,,,
22,,,
2,,,
2,,,
10,,,
2,,,
2,,,
13,,,
3,,,
4,,,
2,,,
2,,,
10,,,
3,,,
2,,,
2,,,
3,,,
3,,,
10,,,
2,,,
2,,,
3,,,
2,,,
4,,,
3,,,
3,,,
3,,,
10,,,
3,,,
2,,,
3,,,
3,,,
2,,,
2,,,
2,,,
3,,,
2,,,
4,,,
3,,,
3,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
5,,,
5,,,
11,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
3,,,
5,,,
2,,,
4,,,
3,,,
2,,,
3,,,
10,,,
11,,,
3,,,
2,,,
4,,,
2,,,
2,,,
4,,,
3,,,
2,,,
10,,,
2,,,
2,,,
2,,,
4,,,
4,,,
12,,,
3,,,
2,,,
2,,,
4,,,
15,,,
3,,,
4,,,
2,,,
2,,,
4,,,
2,,,
2,,,
3,,,
4,,,
2,,,
3,,,
3,,,
12,,,
2,,,
2,,,
4,,,
3,,,
2,,,
4,,,
2,,,
3,,,
3,,,
3,,,
2,,,
3,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
51,,,
2,,,
5,,,
2,,,
16,,,
2,,,
2,,,
2,,,
2,,,
3,,,
4,,,
2,,,
4,,,
1,,,
3,,,
2,,,
2,,,
3,,,
3,,,
2,,,
2,,,
4,,,
2,,,
4,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
11,,,
3,,,
2,,,
5,,,
4,,,
6,,,
4,,,
3,,,
5,,,
5,,,
3,,,
13,,,
3,,,
2,,,
2,,,
5,,,
3,,,
3,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
5,,,
5,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
3,,,
2,,,
16,,,
2,,,
2,,,
3,,,
2,,,
2,,,
3,,,
5,,,
11,,,
5,,,
2,,,
2,,,
2,,,
2,,,
4,,,
3,,,
2,,,
60,,,
6,,,
2,,,
3,,,
3,,,
3,,,
3,,,
11,,,
2,,,
3,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
5,,,
2,,,
10,,,
2,,,
2,,,
11,,,
2,,,
5,,,
3,,,
2,,,
4,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
3,,,
7,,,
2,,,
2,,,
12,,,
6,,,
2,,,
2,,,
5,,,
2,,,
2,,,
2,,,
15,,,
4,,,
2,,,
2,,,
10,,,
9,,,
3,,,
11,,,
4,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
15,,,
3,,,
3,,,
2,,,
3,,,
2,,,
2,,,
3,,,
2,,,
4,,,
3,,,
3,,,
2,,,
2,,,
2,,,
2,,,
4,,,
4,,,
3,,,
2,,,
4,,,
2,,,
2,,,
17,,,
3,,,
2,,,
3,,,
3,,,
2,,,
2,,,
3,,,
4,,,
2,,,
4,,,
8,,,
2,,,
2,,,
2,,,
5,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
4,,,
2,,,
4,,,
2,,,
4,,,
2,,,
2,,,
3,,,
2,,,
3,,,
2,,,
2,,,
3,,,
10,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
6,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
7,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
5,,,
4,,,
3,,,
15,,,
4,,,
3,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
4,,,
51,,,
2,,,
2,,,
2,,,
3,,,
58,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
4,,,
4,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
3,,,
5,,,
2,,,
2,,,
4,,,
2,,,
2,,,
3,,,
4,,,
3,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
5,,,
3,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
2,,,
4,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
11,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
1,,,
13,,,
10,,,
2,,,
4,,,
4,,,
2,,,
2,,,
3,,,
2,,,
2,,,
3,,,
2,,,
3,,,
10,,,
4,,,
2,,,
5,,,
2,,,
2,,,
2,,,
2,,,
4,,,
2,,,
3,,,
3,,,
2,,,
17,,,
51,,,
4,,,
5,,,
2,,,
2,,,
15,,,
3,,,
3,,,
3,,,
5,,,
4,,,
4,,,
4,,,
5,,,
2,,,
3,,,
2,,,
15,,,
10,,,
10,,,
3,,,
3,,,
2,,,
3,,,
4,,,
2,,,
2,,,
3,,,
2,,,
3,,,
2,,,
10,,,
2,,,
5,,,
6,,,
6,,,
4,,,
2,,,
2,,,
12,,,
2,,,
2,,,
15,,,
2,,,
2,,,
1,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
3,,,
4,,,
4,,,
2,,,
2,,,
3,,,
2,,,
6,,,
5,,,
2,,,
3,,,
3,,,
5,,,
9,,,
3,,,
4,,,
15,,,
3,,,
2,,,
11,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
6,,,
4,,,
4,,,
2,,,
3,,,
2,,,
2,,,
3,,,
3,,,
2,,,
2,,,
2,,,
4,,,
11,,,
2,,,
4,,,
4,,,
2,,,
8,,,
3,,,
2,,,
2,,,
2,,,
3,,,
3,,,
4,,,
2,,,
2,,,
11,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
3,,,
3,,,
2,,,
9,,,
2,,,
4,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
3,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
22,,,
3,,,
2,,,
2,,,
2,,,
2,,,
4,,,
10,,,
2,,,
2,,,
3,,,
2,,,
3,,,
3,,,
2,,,
10,,,
5,,,
2,,,
2,,,
3,,,
1,,,
3,,,
3,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
3,,,
2,,,
2,,,
3,,,
3,,,
2,,,
3,,,
3,,,
2,,,
2,,,
2,,,
4,,,
8,,,
11,,,
2,,,
2,,,
2,,,
2,,,
3,,,
9,,,
2,,,
2,,,
3,,,
2,,,
2,,,
3,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
10,,,
3,,,
5,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
3,,,
4,,,
2,,,
15,,,
2,,,
3,,,
3,,,
3,,,
3,,,
3,,,
3,,,
2,,,
4,,,
3,,,
2,,,
2,,,
11,,,
2,,,
11,,,
3,,,
2,,,
2,,,
4,,,
2,,,
2,,,
9,,,
2,,,
2,,,
16,,,
2,,,
3,,,
3,,,
4,,,
3,,,
2,,,
2,,,
3,,,
2,,,
3,,,
2,,,
4,,,
3,,,
2,,,
4,,,
2,,,
4,,,
10,,,
4,,,
2,,,
4,,,
2,,,
4,,,
2,,,
4,,,
2,,,
2,,,
8,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
16,,,
3,,,
4,,,
2,,,
12,,,
2,,,
3,,,
12,,,
3,,,
3,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
4,,,
2,,,
4,,,
12,,,
2,,,
11,,,
2,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
8,,,
2,,,
2,,,
3,,,
2,,,
10,,,
2,,,
2,,,
4,,,
2,,,
2,,,
3,,,
4,,,
2,,,
10,,,
2,,,
3,,,
2,,,
3,,,
2,,,
2,,,
3,,,
4,,,
2,,,
4,,,
2,,,
11,,,
4,,,
3,,,
2,,,
2,,,
2,,,
2,,,
16,,,
2,,,
11,,,
2,,,
17,,,
5,,,
16,,,
2,,,
11,,,
2,,,
4,,,
2,,,
4,,,
2,,,
2,,,
5,,,
3,,,
3,,,
4,,,
2,,,
2,,,
14,,,
3,,,
2,,,
8,,,
3,,,
4,,,
2,,,
2,,,
16,,,
4,,,
16,,,
2,,,
4,,,
2,,,
3,,,
10,,,
6,,,
4,,,
12,,,
51,,,
12,,,
2,,,
3,,,
2,,,
3,,,
2,,,
2,,,
3,,,
3,,,
2,,,
1,,,
12,,,
2,,,
8,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
6,,,
2,,,
2,,,
13,,,
6,,,
2,,,
16,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
4,,,
4,,,
2,,,
3,,,
2,,,
2,,,
2,,,
3,,,
4,,,
2,,,
4,,,
2,,,
2,,,
2,,,
3,,,
2,,,
3,,,
2,,,
15,,,
4,,,
2,,,
2,,,
4,,,
3,,,
4,,,
5,,,
17,,,
2,,,
4,,,
3,,,
2,,,
2,,,
3,,,
3,,,
2,,,
2,,,
3,,,
2,,,
4,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
4,,,
2,,,
5,,,
10,,,
2,,,
4,,,
2,,,
2,,,
2,,,
11,,,
2,,,
14,,,
3,,,
2,,,
4,,,
8,,,
3,,,
2,,,
2,,,
5,,,
3,,,
11,,,
2,,,
2,,,
11,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
1,,,
4,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
1,,,
2,,,
2,,,
14,,,
2,,,
2,,,
1,,,
3,,,
4,,,
2,,,
2,,,
3,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
3,,,
4,,,
2,,,
2,,,
3,,,
5,,,
4,,,
9,,,
5,,,
2,,,
5,,,
2,,,
3,,,
2,,,
13,,,
2,,,
10,,,
2,,,
2,,,
2,,,
2,,,
3,,,
4,,,
2,,,
3,,,
3,,,
3,,,
2,,,
2,,,
2,,,
3,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
4,,,
4,,,
4,,,
3,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
4,,,
2,,,
2,,,
2,,,
4,,,
2,,,
3,,,
3,,,
3,,,
2,,,
14,,,
4,,,
2,,,
2,,,
2,,,
4,,,
3,,,
11,,,
3,,,
4,,,
4,,,
17,,,
2,,,
3,,,
2,,,
3,,,
2,,,
11,,,
5,,,
15,,,
3,,,
2,,,
15,,,
3,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
24,,,
3,,,
3,,,
3,,,
11,,,
4,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
2,,,
3,,,
2,,,
2,,,
16,,,
5,,,
12,,,
3,,,
2,,,
